#
# filename:  animgrp.dat
#
# format:
# o MovementGroup( (Resident/Streaming),		groupname )
# o WeaponGroup( (Resident/Streaming),			groupname )
# o VehicleGroup( (Resident/Streaming),			groupname )
# o VehicleDrivebyGroup( (Resident/Streaming),	groupname , FPSMin, FPSMax, RPSMin, RPSMax, FDSMin, FDSMax, additionalFlags )
# o VehicleToDrivebyLink( (Resident/Streaming), groupname, drivebygroupName, optionalSpecificModel, additionalFlags)
# additionalFlags can be made up of:
#	DBF_AlternateFireFront		
#	DBF_AlternateFireRear		
#	DBF_IsVanFlagNeededForRear	
#	DBF_NoRoofNeeded			
#	DBF_RoofNeeded				
#	DBF_AdjustVerticalHeightFS	
#	DBF_HasRifle				
#	DBF_HasGrenades
#	DBF_AllSeatsUseFrontAnims	
#	DBF_NoRearDrivebys			
#	DBF_DisableFrontDrivebys	
#	DBF_BackRightSeatUsesPassengerAnims
#	DBF_NoDriverGrenadeDrivebys
#	DBF_DriverNeedsIntoAnims
#	DBF_PassengersDontNeedIntroAnims
#	DBF_DampenRecoilAnim
#	DBF_BackLeftSeatUsesDriverAnims
#	DBF_JustPauseFiringForReload

Version(3)

#-------------------------------------------------------------------
# Movement groups
# o MovementGroup( (Resident/Streaming),		groupname )
#-------------------------------------------------------------------
MovementGroup(Streaming, move_cop)			
MovementGroup(Streaming, move_cop_fat)		
MovementGroup(Streaming, move_m@roman_inj)	
MovementGroup(Streaming, move_m@bernie
MovementGroup(Streaming, move_m@playboy)	

MovementGroup(Streaming, move_f@bness_a)	
MovementGroup(Streaming, move_f@bness_b)	
MovementGroup(Streaming, move_f@bness_c)	
MovementGroup(Streaming, move_f@bness_d)	
MovementGroup(Streaming, move_f@bness_e)	
MovementGroup(Streaming, move_f@casual)	
MovementGroup(Streaming, move_f@casual_b)	
MovementGroup(Streaming, move_f@casual_c)	
MovementGroup(Streaming, move_f@sexy)		
MovementGroup(Resident,  move_f@fat)		
MovementGroup(Streaming, move_f@old_a)		
MovementGroup(Streaming, move_f@old_b)		
MovementGroup(Streaming, move_f@old_c)		
MovementGroup(Streaming, move_f@old_d)		
MovementGroup(Streaming, move_f@puffer)	
MovementGroup(Streaming, move_f@michelle)	

MovementGroup(Streaming, move_m@swat)
MovementGroup(Streaming, move_m@cs_swat)	
MovementGroup(Streaming, move_m@bness_a)	
MovementGroup(Streaming, move_m@bness_b)	
MovementGroup(Streaming, move_m@bness_c)	
MovementGroup(Streaming, move_m@casual)	
MovementGroup(Streaming, move_m@casual_b)	
MovementGroup(Streaming, move_m@casual_c)	
MovementGroup(Streaming, move_m@bum)		
MovementGroup(Streaming, move_m@fat)		
MovementGroup(Streaming, move_m@old_a)		
MovementGroup(Streaming, move_m@old_b)		
MovementGroup(Streaming, move_m@old_c)		
MovementGroup(Streaming, move_m@tourist)	
MovementGroup(Streaming, move_m@case)		
MovementGroup(Streaming, move_m@h_cuffed)
MovementGroup(Streaming, move_m@eddie)

MovementGroup(Streaming, move_gng@afro_a)	
MovementGroup(Streaming, move_gng@afro_b)	
