
# OLD MTL			NEW MTL					NEW PROC				ROOM ID		POP MULT	FLAGS
#																			

DEFAULT				default					-					0		7		0
MUD_DRY				dirt_dry				-					0		7		0
DIRT				dirt_dry				EXT_DIRT_RUBBLE_WEEDS			0		7		0		
DIRTTRACK			dirt_dry				-					0		7		0
MUD_WET				mud_soft				-					0		7		0
STEEP_CLIFF			stone					-					0		7		0
ROCK_DRY			stone					-					0		7		0
ROCK_WET			stone					-					0		7		0
ROCK_CLIFF			stone					-					0		7		0
P_RIVERBED			stone					-					0		7		0	
P_DIRTROCKY			dirt_dry				-					0		7		0	
P_DIRTWEEDS			dirt_dry				-					0		7		0
P_DESERTROCKS			sand					-					0		7		0
STAIRSSTONE			stone					-					0		7		0
P_CONCRETE			concrete				-					0		7		0
TRANSPARENT_STONE		concrete				-					0		7		0
P_RUBBLE			concrete				EXT_RUBBLE_BRICKS_WEEDS			0		7		0
TARMAC				concrete				EXT_LITTER_PAPER_LEAF			0		7		0
TARMAC_FUCKED			concrete				-					0		7		0
TARMAC_REALLYFUCKED		concrete				##					0		7		0
P_ROADSIDE			concrete				EXT_ROADSIDE_LITTER			0		7		0
P_ROADSIDEDES			concrete				##					0		7		0		
P_AIRPORTGRND			concrete				-					0		7		0
FUCKED_CONCRETE			concrete				-					0		7		0
CONCRETE_BEACH			concrete				-					0		7		0
FLOORCONCRETE			concrete				-					0		7		0
PAVEMENT			paving_slabs				EXT_PAVEMENT_LITTER			0		7		0
PAVEMENT_FUCKED			paving_slabs				EXT_PAVINGSLABS_DEBRIS			0		7		0
BS_PAVEMENT			paving_slabs				EXT_FASTFOOD_LITTER			0		7		0
PAINTED_GROUND			concrete				-					0		7		0
WASTEGROUND			dirt_dry				-					0		7		0
P_WASTEGROUND			dirt_dry				EXT_WASTEGROUND_DEBRIS			0		7		0
P_BUILDINGSITE			dirt_dry				EXT_WOODPLANKS_BREEZEBLOCKS		0		7		0
P_DOCKLANDS			dirt_dry				EXT_DOCKS_RUBBLE_WOOD_ROPE		0		7		0
P_INDUSTRIAL			dirt_dry				EXT_INDUSTRIAL_DEBRIS			0		7		0
P_JUNKYARDGRND			dirt_dry				-					0		7		0				
