# Modelname      Sex    Age    Sexiness   Bravery     Attack   Defend   Agility   MeleeMartialLevelPercent   1stLanguage  2ndLanguage  Tickboxes
player,   M,   30,   3,   5,   1,   0.4,   5,   50,   E,   E,   core_moves,   hits_pool,   unarmed_player,   counters_player,   firearm_core,   ground_player,   -,   move_melee,   +cancarryweapons
M_Y_Multiplayer,   M,   30,   5,   5,   1,   0.4,   5,   50,   E,   E,   core_moves,   hits_pool,   unarmed_player,   counters_player,   firearm_core,   -,   -,   move_melee,   +cancarryweapons
F_Y_Multiplayer,   F,   30,   5,   5,   1,   0.4,   5,   50,   E,   E,   core_moves,   hits_pool,   unarmed_player,   counters_player,   firearm_core,   -,   -,   move_melee,   +cancarryweapons
ig_roman,   M,   34,   3,   3,   1,   1,   3,   50,   E,   E,   core_moves,   hits_pool,   unarmed_ped,   counters_player,   firearm_core,   -,   -,   move_rubbish,   +cancarryweapons
ig_RomanW ,   M,   34,   3,   3,   1,   1,   3,   50,   E,   E,   core_moves,   hits_pool,   unarmed_ped,   counters_player,   firearm_core,   -,   -,   move_rubbish,   +cancarryweapons
ig_mallorie,   F,   29,   3,   2,   1,   1,   3,   50,   E,   E,   core_moves,   hits_pool,   unarmed_ped,   counters_player,   firearm_core,   -,   -,   move_rubbish,   +cancarryweapons
ig_Michelle ,   F,   27,   3,   4,   1,   1,   5,   50,   E,   E,   core_moves,   hits_pool,   unarmed_ped,   counters_player,   firearm_core,   -,   -,   move_rubbish,   
ig_Brucie ,   M,   34,   3,   3,   1,   1,   5,   50,   E,   E,   core_moves,   hits_pool,   unarmed_gang,   counters_player,   firearm_core,   -,   -,   move_tough,   
ig_vlad,   M,   36,   3,   5,   1,   1,   3,   50,   E,   E,   core_moves,   hits_pool,   unarmed_gang,   counters_player,   firearm_core,   -,   -,   move_tough,   +cancarryweapons
ig_Faustin ,   M,   45,   3,   5,   1,   1,   3,   50,   E,   E,   core_moves,   hits_pool,   unarmed_gang,   counters_player,   firearm_core,   -,   -,   move_tough,   +cancarryweapons
ig_Dmitri,   M,   39,   3,   5,   1,   1,   5,   50,   E,   E,   core_moves,   hits_pool,   unarmed_gang,   counters_player,   firearm_core,   -,   -,   move_tough,   +cancarryweapons
ig_ilyena,   F,   37,   3,   5,   1,   1,   3,   50,   E,   E,   core_moves,   hits_pool,   unarmed_ped,   counters_player,   firearm_core,   -,   -,   move_rubbish,   +cancarryweapons
ig_Petrovic,   M,   52,   3,   5,   1,   1,   3,   50,   E,   E,   core_moves,   hits_pool,   unarmed_gang,   counters_player,   firearm_core,   -,   -,   move_tough,   +cancarryweapons
ig_Anna,   F,   20,   4,   2,   1,   1,   5,   50,   E,   R,   core_moves,   hits_pool,   unarmed_ped,   counters_player,   firearm_core,   -,   -,   move_rubbish,   +cancarryweapons
ig_Manny,   M,   35,   3,   4,   1,   1,   3,   50,   E,   E,   core_moves,   hits_pool,   unarmed_ped,   counters_player,   firearm_core,   -,   -,   move_rubbish,   +cancarryweapons
ig_Jay,   M,   30,   3,   4,   1,   1,   3,   50,   E,   E,   core_moves,   hits_pool,   unarmed_ped,   counters_player,   firearm_core,   -,   -,   move_rubbish,   +cancarryweapons
ig_Playboy_X ,   M,   25,   3,   5,   1,   1,   5,   50,   E,   E,   core_moves,   hits_pool,   unarmed_gang,   counters_player,   firearm_core,   -,   -,   move_tough,   
ig_Dwayne ,   M,   35,   3,   4,   1,   1,   4,   50,   E,   E,   core_moves,   hits_pool,   unarmed_gang,   counters_player,   firearm_core,   -,   -,   move_tough,   
ig_MaMc ,   F,   67,   3,   3,   1,   1,   3,   50,   E,   E,   core_moves,   hits_pool,   unarmed_ped,   counters_player,   firearm_core,   -,   -,   move_rubbish,   
ig_Francis_Mc ,   M,   45,   3,   4,   1,   1,   4,   50,   E,   E,   core_moves,   hits_pool,   unarmed_gang,   counters_player,   firearm_core,   -,   -,   move_tough,   
ig_Derrick_Mc ,   M,   47,   3,   5,   1,   1,   3,   50,   E,   E,   core_moves,   hits_pool,   unarmed_gang,   counters_player,   firearm_core,   -,   -,   move_tough,   
