#######################################
# statdisp.dat                        #
# selects when to show messages based #
# on stat values in the game          #
#######################################

# note - numbers on left hand (stat_num) must align up with numbers in STAT_VAR_CONSOLE_REF.TXT in "sa_docs" dir in AB

# stat_num  - unique stat id
# stat_name - name of stat (for reference)
# condition - this can be lessthan/morethan
# value     - value stat must reach to display message
# text_id   - text id from american.gxt text file to display

# stat text names - S - stat 
#						W - Weapon (PI - pistol, ) (ST - Standard, PR - Pro)
#						ST - Stamina (0 to 9 -level)
#						SK	- Skill	(0 to 9 -level) 
#						BO -  BODY 
###################################################################################

#stat_num	stat_name						condition	value	text_id
#========   =========      	 				=========   =====   =======


20		FAT									morethan	250		SBOFAT0			
20		FAT									morethan	400		SBOFAT1
20		FAT									morethan	600		SBOFAT2
20		FAT									morethan	800		SBOFAT3
20		FAT									morethan	950		SBOFAT4

21		STAMINA	 		  					morethan	20		SSTSPT0
21		STAMINA	 		  					morethan	100		SSTSPT0
21		STAMINA	 		  					morethan	200		SSTSPT0
21		STAMINA	 		  					morethan	300		SSTSPT0
21		STAMINA	 							morethan	400		SSTSPT0
21		STAMINA	 							morethan	500		SSTSPT0
21		STAMINA	 							morethan	600		SSTSPT0
21		STAMINA	 							morethan	700		SSTSPT0
21		STAMINA	 							morethan	800		SSTSPT0
21		STAMINA	 							morethan	900		SSTSPT0
21		STAMINA	 							morethan	999		SSTSPT1

22		BODY_MUSCLE							morethan	100		SBOMUS0
22		BODY_MUSCLE							morethan	200		SBOMUS1
22		BODY_MUSCLE							morethan	350		SBOMUS6
22		BODY_MUSCLE							morethan	400		SBOMUS2
22		BODY_MUSCLE							morethan	600		SBOMUS3
22		BODY_MUSCLE							morethan	800		SBOMUS4						
22		BODY_MUSCLE							morethan	999		SBOMUS5						

212		FLYING_SKILL						morethan	20		SSTFLY0	
212		FLYING_SKILL						morethan	180		SSTFLY1

214		UNDERWATER_STAMINA					morethan	50		SSTUND0
214		UNDERWATER_STAMINA					morethan	250		SSTUND1
214		UNDERWATER_STAMINA					morethan	500		SSTUND2
214		UNDERWATER_STAMINA					morethan	750		SSTUND3
214		UNDERWATER_STAMINA					morethan	999		SSTUND4

218		BIKE_SKILL							morethan	20		SSKBIK0
218		BIKE_SKILL							morethan	200		SSKBIK1
218		BIKE_SKILL							morethan	400		SSKBIK2
218		BIKE_SKILL							morethan	800		SSKBIK3
218		BIKE_SKILL							morethan	999		SSKBIK4

219		CYCLE_SKILL							morethan	20		SSKCYC0	
219		CYCLE_SKILL							morethan	200		SSKCYC2	
219		CYCLE_SKILL							morethan	400		SSKCYC1	
219		CYCLE_SKILL							morethan	800		SSKCYC3	
219		CYCLE_SKILL							morethan	999		SSKCYC4	

60		RESPECT_TOTAL						morethan	1		SRES_
60		RESPECT_TOTAL						morethan	10		SRES0
60		RESPECT_TOTAL						morethan	60		SRES1
60		RESPECT_TOTAL						morethan	160		SRES2
60		RESPECT_TOTAL						morethan	330		SRES3
